iter	Passed	Remaining
601	78436	51856
602	78543	51710
603	78664	51574
604	78818	51459
605	78947	51328
606	79091	51207
607	79192	51058
608	79315	50923
609	79456	50800
610	79589	50671
611	79682	50517
612	79780	50366
613	79939	50255
614	80046	50110
615	80152	49965
616	80250	49815
617	80362	49674
618	80504	49551
619	80625	49415
620	80723	49265
621	80853	49135
622	80974	49000
623	81074	48852
624	81213	48728
625	81322	48585
626	81447	48453
627	81561	48313
628	81661	48165
629	81784	48032
630	81894	47890
631	82071	47788
632	82213	47665
633	82353	47541
634	82495	47418
635	82628	47290
636	82778	47172
637	82928	47053
638	83027	46906
639	83210	46805
640	83320	46664
641	83458	46538
642	83595	46412
643	83739	46290
644	83841	46145
645	83958	46008
646	84126	45899
647	84248	45764
648	84370	45630
649	84528	45515
650	84656	45384
651	84782	45251
652	84917	45124
653	85032	44986
654	85215	44884
655	85325	44744
656	85424	44597
657	85517	44448
658	85664	44327
659	85800	44200
660	85892	44050
661	86023	43921
662	86148	43788
663	86252	43646
664	86381	43515
665	86527	43393
666	86645	43257
667	86751	43115
668	86850	42970
669	86958	42830
670	87105	42709
671	87251	42587
672	87351	42442
673	87449	42297
674	87537	42147
675	87658	42013
676	87796	41888
677	87935	41763
678	88040	41621
679	88147	41481
680	88274	41350
681	88403	41220
682	88512	41081
683	88632	40947
684	88767	40819
685	88904	40693
686	88992	40545
687	89099	40405
688	89234	40278
689	89329	40133
690	89437	39994
691	89601	39880
692	89703	39738
693	89807	39598
694	89941	39470
695	90057	39335
696	90168	39198
697	90284	39062
698	90430	38940
699	90541	38803
700	90648	38664
701	90753	38524
702	90890	38398
703	90991	38257
704	91109	38123
705	91210	37982
706	91361	37862
707	91484	37730
708	91589	37591
709	91691	37451
710	91794	37311
711	91918	37180
712	92038	37047
713	92145	36910
714	92250	36770
715	92389	36646
716	92522	36518
717	92639	36384
718	92740	36244
719	92832	36101
720	92935	35962
721	93040	35824
722	93171	35696
723	93291	35564
724	93418	35434
725	93530	35299
726	93623	35157
727	93731	35020
728	93865	34893
729	93978	34759
730	94083	34621
731	94182	34482
732	94281	34342
733	94380	34203
734	94545	34087
735	94676	33960
736	94758	33814
737	94851	33673
738	94945	33532
739	95048	33395
740	95148	33257
741	95254	33120
742	95371	32988
743	95475	32851
744	95572	32712
745	95682	32578
746	95761	32433
747	95848	32291
748	95955	32156
749	96065	32021
750	96202	31896
751	96299	31758
752	96414	31626
753	96506	31486
754	96600	31347
755	96700	31210
756	96834	31084
757	96978	30961
758	97118	30837
759	97219	30701
760	97325	30565
761	97454	30438
762	97556	30302
763	97657	30166
764	97766	30032
765	97897	29905
766	98009	29773
767	98125	29642
768	98252	29513
769	98357	29379
770	98469	29247
771	98602	29120
772	98720	28990
773	98863	28867
774	98985	28737
775	99150	28620
776	99305	28500
777	99439	28374
778	99605	28257
779	99758	28137
780	99907	28015
781	100084	27900
782	100205	27770
783	100376	27654
784	100531	27534
785	100645	27402
786	100873	27301
787	100988	27169
788	101097	27036
789	101246	26913
790	101391	26790
791	101509	26659
792	101628	26528
793	101799	26411
794	101923	26282
795	102042	26151
796	102194	26029
797	102328	25902
798	102473	25778
799	102609	25652
800	102729	25521
801	102877	25398
802	103033	25277
803	103154	25147
804	103296	25022
805	103422	24893
806	103542	24762
807	103686	24638
808	103801	24506
809	103917	24375
810	104085	24256
811	104208	24127
812	104342	24000
813	104473	23872
814	104593	23742
815	104737	23617
816	104838	23482
817	104958	23352
818	105095	23226
819	105215	23096
820	105330	22964
821	105470	22839
822	105703	22733
823	105827	22603
824	105981	22480
825	106122	22355
826	106266	22229
827	106400	22102
828	106536	21975
829	106858	21886
830	106996	21759
831	107103	21626
832	107200	21491
833	107328	21362
834	107420	21226
835	107509	21090
836	107674	20968
837	107784	20836
838	107879	20701
839	107972	20566
840	108110	20439
841	108220	20307
842	108332	20175
843	108447	20044
844	108637	19927
845	108742	19794
846	108842	19661
847	108958	19530
848	109057	19396
849	109147	19261
850	109243	19127
851	109371	18998
852	109478	18866
853	109604	18737
854	109710	18605
855	109827	18475
856	109926	18342
857	110018	18208
858	110113	18074
859	110215	17942
860	110340	17813
861	110426	17678
862	110517	17544
863	110637	17415
864	110776	17288
865	110884	17157
866	110973	17023
867	111076	16891
868	111176	16759
869	111281	16628
870	111415	16501
871	111511	16368
872	111628	16239
873	111762	16112
874	111926	15989
875	112049	15860
876	112149	15729
877	112281	15601
878	112386	15470
879	112486	15339
880	112665	15218
881	112760	15085
882	112865	14955
883	112981	14825
884	113100	14696
885	113217	14567
886	113353	14440
887	113497	14315
888	113616	14186
889	113731	14056
890	113856	13928
891	114001	13802
892	114135	13675
893	114247	13546
894	114346	13415
895	114522	13292
896	114622	13161
897	114718	13030
898	114805	12898
899	114937	12770
900	115072	12643
901	115183	12514
902	115289	12384
903	115414	12256
904	115513	12125
905	115624	11996
906	115763	11869
907	115903	11743
908	116004	11613
909	116098	11482
910	116202	11352
911	116378	11229
912	116481	11099
913	116608	10971
914	116709	10841
915	116838	10714
916	116979	10588
917	117088	10458
918	117226	10332
919	117318	10201
920	117437	10073
921	117571	9946
922	117663	9815
923	117766	9686
924	117883	9558
925	118004	9430
926	118131	9302
927	118245	9174
928	118386	9047
929	118507	8919
930	118604	8790
931	118702	8660
932	118835	8533
933	118972	8407
934	119089	8278
935	119193	8150
936	119333	8023
937	119470	7896
938	119606	7769
939	119734	7642
940	119849	7514
941	119983	7387
942	120142	7262
943	120247	7133
944	120382	7006
945	120489	6877
946	120599	6749
947	120740	6622
948	120887	6496
949	120994	6368
950	121092	6239
951	121194	6110
952	121337	5984
953	121477	5857
954	121598	5729
955	121729	5602
956	121864	5475
957	121984	5347
958	122082	5219
959	122217	5092
960	122321	4964
961	122476	4837
962	122610	4710
963	122714	4582
964	122807	4454
965	122964	4327
966	123097	4200
967	123209	4073
968	123352	3946
969	123468	3818
970	123566	3690
971	123692	3563
972	123793	3435
973	123915	3307
974	124009	3179
975	124114	3051
976	124215	2924
977	124367	2797
978	124478	2670
979	124582	2542
980	124692	2415
981	124792	2287
982	124946	2160
983	125074	2033
984	125174	1906
985	125278	1778
986	125383	1651
987	125516	1524
988	125615	1397
989	125727	1269
990	125869	1143
991	125976	1015
992	126086	888
993	126223	761
994	126324	634
995	126445	507
996	126544	380
997	126676	253
998	126812	126
999	126950	0
