iter	RMSE
547	811974.6829
548	811909.5749
549	811770.2592
550	811555.8792
551	811444.986
552	810614.4949
553	810483.8201
554	810292.3581
555	810137.4464
556	810022.2313
557	809914.7531
558	809836.6893
559	809634.3846
560	806237.214
561	806172.061
562	805615.357
563	805111.4146
564	805009.4861
565	804740.2494
566	804614.6848
567	804513.929
568	804475.2129
569	804329.4478
570	804160.5926
571	804100.3339
572	803956.0763
573	803840.6096
574	803607.5128
575	803023.3296
576	799697.0519
577	799630.9017
578	799330.7394
579	799129.0147
580	799092.5844
581	798932.0374
582	798743.7508
583	798598.2223
584	798392.8594
585	797811.16
586	797623.1741
587	797577.9729
588	797549.5269
589	797487.6493
590	797378.9452
591	797310.0693
592	797165.4244
593	797114.9271
594	797024.2562
595	796724.4392
596	796563.4641
597	796431.4504
598	796223.7656
599	796016.4186
600	793304.9195
601	792470.7604
602	792253.0404
603	792075.4626
604	791735.4191
605	791483.8562
606	791358.5432
607	790139.5357
608	790016.3058
609	789745.2651
610	789522.9406
611	789355.8805
612	789347.0496
613	789148.7999
614	788854.0799
615	788794.6153
616	788705.9951
617	788579.3815
618	788480.353
619	787805.7979
620	787714.0212
621	787594.8754
622	787496.6665
623	787445.7668
624	787162.8449
625	786512.4847
626	786411.2929
627	786236.467
628	786116.3963
629	785992.9538
630	785887.1985
631	785681.2958
632	785509.254
633	785382.0463
634	785174.8502
635	784821.9052
636	784702.9158
637	784569.3706
638	784452.2069
639	784230.7561
640	784115.6984
641	783383.5332
642	783296.6698
643	782858.6627
644	782751.8205
645	782641.0947
646	782572.0054
647	782428.0665
648	782312.7602
649	781979.6215
650	781948.0108
651	781571.0729
652	781212.98
653	781046.2866
654	780986.6004
655	780835.7374
656	780810.6565
657	780487.9166
658	780198.3431
659	780018.0785
660	779951.7487
661	779839.1909
662	779704.316
663	778329.7566
664	778147.7124
665	778039.3991
666	777898.6316
667	777802.03
668	777745.4471
669	777570.8597
670	777475.8956
671	777305.581
672	776846.4397
673	776715.4057
674	776666.1113
675	776558.8224
676	776391.5226
677	776151.6864
678	775668.1608
679	775518.1228
680	773200.368
681	772856.3534
682	772573.0458
683	772569.1961
684	772479.6956
685	772390.0827
686	772380.2033
687	772332.3856
688	772202.7034
689	772145.6848
690	772103.8334
691	771990.6831
692	771872.1253
693	771428.3748
694	771017.2626
695	770869.7349
696	770705.8007
697	770516.9395
698	769919.5056
699	769645.1308
700	769568.2798
701	769441.908
702	769331.1523
703	767463.8079
704	767391.0127
705	766837.3735
706	766575.4585
707	765831.3501
708	765550.7056
709	765471.4979
710	765279.7546
711	765194.6948
712	765108.5919
713	764962.0717
714	764832.364
715	764742.4933
716	764667.4609
717	764503.9621
718	764316.0076
719	764292.4213
720	763756.3225
721	762771.192
722	762706.6401
723	762639.5548
724	762038.6967
725	761611.468
726	761459.5654
727	761410.6675
728	761376.2027
729	761251.4545
730	761178.2436
731	761097.6482
732	759636.7855
733	759495.9019
734	759417.923
735	759256.1883
736	759222.3759
737	759139.7818
738	759065.94
739	758910.5707
740	758808.0856
741	758769.7082
742	758737.7903
743	758641.9123
744	758572.44
745	758468.0414
746	758442.3123
747	758389.0882
748	757912.1693
749	757632.569
750	757294.5206
751	757208.2451
752	757059.1758
753	756935.7185
754	756834.7101
755	756547.2105
756	756361.3416
757	756281.7045
758	756022.0197
759	755850.8665
760	755791.4261
761	754830.5529
762	754075.6748
763	753753.2038
764	753700.4084
765	753631.5172
766	753171.1627
767	753009.6852
768	752933.8217
769	752820.4739
770	752787.3274
771	752663.1801
772	752471.6037
773	752395.6956
774	752282.329
775	752168.5678
776	751759.5222
777	751675.5114
778	751623.2205
779	751218.4719
780	751027.1421
781	750963.4438
782	750885.1999
783	750840.1235
784	749371.4874
785	749244.3725
786	748812.4662
787	748736.3099
788	748689.1555
789	748434.8854
790	748377.1627
791	748374.1064
792	748326.0243
793	748017.8398
794	747786.3951
795	747724.3459
796	747656.4023
797	747571.5911
798	747421.5809
799	747171.5164
800	747103.9756
801	747010.8196
802	746828.0066
803	746645.4654
804	746602.2789
805	746238.1279
806	745975.5352
807	745662.6392
808	744882.8989
809	744760.3562
810	744632.7478
811	744491.9895
812	744403.2614
813	744338.9192
814	743990.7093
815	743897.1641
816	743857.8255
817	743807.5497
818	743732.7216
819	743683.3681
820	743581.3175
821	743407.0055
822	743167.569
823	743091.7691
824	743017.4381
825	742942.345
826	742813.384
827	742701.7436
828	742582.7835
829	742515.0626
830	742470.1943
831	742322.3628
832	742195.1986
833	742135.9934
834	742105.5455
835	741539.8326
836	741443.7729
837	741374.4671
838	740770.2762
839	740702.5072
840	740570.6565
841	740507.5168
842	740240.2466
843	740159.465
844	740115.9516
845	740025.7421
846	739534.6231
847	739439.6587
848	739393.6491
849	739183.9239
850	739125.7742
851	739056.2192
852	738815.8592
853	738722.7489
854	738612.4491
855	738257.2517
856	738217.1623
857	738186.2873
858	738114.4202
859	737990.5185
860	737913.6959
861	737824.2468
862	737743.3737
863	737676.7575
864	737553.2609
865	737477.9145
866	737296.3464
867	737137.1066
868	737004.5079
869	736925.7158
870	736757.5543
871	736461.0369
872	736367.4858
873	736231.5695
874	736170.4991
875	736136.0872
876	735939.3264
877	735912.9756
878	735866.403
879	735541.682
880	735284.9091
881	735119.1768
882	735028.3864
883	734986.0383
884	734815.0376
885	734627.0255
886	734483.4063
887	734418.9309
888	734342.0812
889	734275.2744
890	734219.7418
891	734153.7207
892	734132.7276
893	734084.9345
894	734007.203
895	733814.1523
896	732585.6237
897	732518.8793
898	732514.158
899	732403.9673
